timestamp,robot_name,par,timeframe,direcao,score_tecnico,contributing_indicators,reason
2025-04-13 05:04:20,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:05:20,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:05:20,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:05:20,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:06:20,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:06:20,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:06:20,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:07:25,frouxo,TRXUSDT,1d,LONG,1.0083333333333333,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:07:25,frouxo,DOGEUSDT,1d,SHORT,0.825,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:07:25,frouxo,XRPUSDT,1d,SHORT,0.825,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:08:16,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:08:16,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:08:16,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:09:17,frouxo,TRXUSDT,1d,LONG,1.125,MACD;Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:09:17,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:09:17,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:10:18,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:10:18,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:10:18,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:11:21,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:11:21,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:11:21,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:12:17,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:12:17,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:12:17,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:13:18,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:13:18,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:13:18,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:14:20,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:14:20,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:14:20,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
